               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.024727,            0.011184,           0.0021495,             0.67983,             0.63742,             0.64518,              0.3445,            0.038049,            0.012106,            0.030308,            0.001288,            0.001288,            0.001288
                  90,            0.024763,            0.011061,            0.002016,             0.68083,             0.62359,             0.63783,             0.33468,             0.03826,            0.012148,             0.03229,            0.001189,            0.001189,            0.001189
                  91,            0.024239,            0.010792,           0.0019406,             0.73319,             0.60363,             0.63853,             0.34203,            0.038174,            0.012236,            0.031446,             0.00109,             0.00109,             0.00109
                  92,            0.023873,             0.01065,           0.0019325,             0.68041,              0.6539,             0.64389,             0.33953,            0.038093,            0.012293,            0.030128,            0.000991,            0.000991,            0.000991
                  93,             0.02404,            0.010574,           0.0018076,             0.69097,              0.6147,             0.63917,             0.34466,            0.038057,            0.012251,            0.030641,            0.000892,            0.000892,            0.000892
                  94,            0.023546,            0.010461,           0.0016714,             0.69673,             0.61771,             0.63909,             0.34293,            0.038051,            0.012351,            0.032681,            0.000793,            0.000793,            0.000793
                  95,            0.023876,             0.01064,           0.0018696,             0.69806,             0.62908,             0.64486,             0.34065,             0.03839,            0.012349,            0.030535,            0.000694,            0.000694,            0.000694
                  96,            0.023057,            0.010602,           0.0015668,              0.7247,             0.61863,             0.64269,             0.34313,            0.038239,             0.01245,            0.032694,            0.000595,            0.000595,            0.000595
                  97,            0.023151,            0.010617,           0.0018314,             0.70898,             0.63179,               0.646,             0.34585,            0.038339,            0.012409,            0.032105,            0.000496,            0.000496,            0.000496
                  98,            0.023069,            0.010571,           0.0016192,             0.71144,             0.61667,             0.63999,             0.34493,            0.037996,            0.012471,            0.033627,            0.000397,            0.000397,            0.000397
                  99,            0.022846,             0.01053,           0.0016207,             0.69083,             0.63355,             0.64551,             0.34566,            0.038138,            0.012467,            0.032399,            0.000298,            0.000298,            0.000298
